test time
insert_time_500_entries_transaction 123
executeTransaction_ten_transactions 6
update_time_500_entries 904
query_time_500_entries_transaction 923
update_time_500_entries_transaction 152
delete_time_500_entries 1114
insert_time_500_entries 988
query_time_500_entries 648
delete_time_500_entries_transaction 219
insert_time_500_entries_transaction 197
executeTransaction_ten_transactions 8
update_time_500_entries 939
query_time_500_entries_transaction 771
update_time_500_entries_transaction 205
delete_time_500_entries 1300
insert_time_500_entries 1008
query_time_500_entries 701
delete_time_500_entries_transaction 253
insert_time_500_entries_transaction 158
executeTransaction_ten_transactions 6
update_time_500_entries 857
query_time_500_entries_transaction 745
update_time_500_entries_transaction 193
delete_time_500_entries 1097
insert_time_500_entries 1027
query_time_500_entries 657
delete_time_500_entries_transaction 217
insert_time_500_entries_transaction 170
executeTransaction_ten_transactions 12
update_time_500_entries 854
query_time_500_entries_transaction 506
update_time_500_entries_transaction 213
delete_time_500_entries 1090
insert_time_500_entries 1061
query_time_500_entries 693
delete_time_500_entries_transaction 236
insert_time_500_entries_transaction 123
executeTransaction_ten_transactions 6
update_time_500_entries 973
query_time_500_entries_transaction 528
update_time_500_entries_transaction 237
delete_time_500_entries 1075
insert_time_500_entries 1009
query_time_500_entries 710
delete_time_500_entries_transaction 255
insert_time_500_entries_transaction 118
executeTransaction_ten_transactions 12
update_time_500_entries 854
query_time_500_entries_transaction 608
update_time_500_entries_transaction 157
delete_time_500_entries 1165
insert_time_500_entries 1027
query_time_500_entries 672
delete_time_500_entries_transaction 244
insert_time_500_entries_transaction 139
executeTransaction_ten_transactions 9
update_time_500_entries 871
query_time_500_entries_transaction 604
update_time_500_entries_transaction 123
delete_time_500_entries 1092
insert_time_500_entries 1034
query_time_500_entries 631
delete_time_500_entries_transaction 216
insert_time_500_entries_transaction 116
executeTransaction_ten_transactions 8
update_time_500_entries 825
query_time_500_entries_transaction 485
update_time_500_entries_transaction 125
delete_time_500_entries 1113
insert_time_500_entries 1043
query_time_500_entries 677
delete_time_500_entries_transaction 216
insert_time_500_entries_transaction 140
executeTransaction_ten_transactions 11
update_time_500_entries 777
query_time_500_entries_transaction 659
update_time_500_entries_transaction 223
delete_time_500_entries 1158
insert_time_500_entries 1025
query_time_500_entries 658
delete_time_500_entries_transaction 282
insert_time_500_entries_transaction 141
executeTransaction_ten_transactions 8
update_time_500_entries 1054
query_time_500_entries_transaction 780
update_time_500_entries_transaction 241
delete_time_500_entries 1285
insert_time_500_entries 1069
query_time_500_entries 689
delete_time_500_entries_transaction 221
insert_time_500_entries_transaction 102
executeTransaction_ten_transactions 5
update_time_500_entries 802
query_time_500_entries_transaction 495
update_time_500_entries_transaction 152
delete_time_500_entries 1109
insert_time_500_entries 1102
query_time_500_entries 719
delete_time_500_entries_transaction 192
insert_time_500_entries_transaction 137
executeTransaction_ten_transactions 9
update_time_500_entries 867
query_time_500_entries_transaction 601
update_time_500_entries_transaction 175
delete_time_500_entries 1234
insert_time_500_entries 1014
query_time_500_entries 700
delete_time_500_entries_transaction 249
insert_time_500_entries_transaction 106
executeTransaction_ten_transactions 13
update_time_500_entries 863
query_time_500_entries_transaction 703
update_time_500_entries_transaction 192
delete_time_500_entries 1175
insert_time_500_entries 1072
query_time_500_entries 668
delete_time_500_entries_transaction 235
insert_time_500_entries_transaction 106
executeTransaction_ten_transactions 9
update_time_500_entries 956
query_time_500_entries_transaction 621
update_time_500_entries_transaction 189
delete_time_500_entries 1207
insert_time_500_entries 955
query_time_500_entries 639
delete_time_500_entries_transaction 286
insert_time_500_entries_transaction 121
executeTransaction_ten_transactions 10
update_time_500_entries 837
query_time_500_entries_transaction 424
update_time_500_entries_transaction 166
delete_time_500_entries 1045
insert_time_500_entries 1053
query_time_500_entries 629
delete_time_500_entries_transaction 219
insert_time_500_entries_transaction 172
executeTransaction_ten_transactions 14
update_time_500_entries 917
query_time_500_entries_transaction 532
update_time_500_entries_transaction 162
delete_time_500_entries 1145
insert_time_500_entries 1037
query_time_500_entries 737
delete_time_500_entries_transaction 223
insert_time_500_entries_transaction 133
executeTransaction_ten_transactions 7
update_time_500_entries 962
query_time_500_entries_transaction 675
update_time_500_entries_transaction 149
delete_time_500_entries 1200
insert_time_500_entries 1025
query_time_500_entries 623
delete_time_500_entries_transaction 268
insert_time_500_entries_transaction 146
executeTransaction_ten_transactions 13
update_time_500_entries 864
query_time_500_entries_transaction 823
update_time_500_entries_transaction 228
delete_time_500_entries 1123
insert_time_500_entries 1065
query_time_500_entries 691
delete_time_500_entries_transaction 205
insert_time_500_entries_transaction 184
executeTransaction_ten_transactions 9
update_time_500_entries 793
query_time_500_entries_transaction 557
update_time_500_entries_transaction 196
delete_time_500_entries 1074
insert_time_500_entries 1064
query_time_500_entries 711
delete_time_500_entries_transaction 230
insert_time_500_entries_transaction 129
executeTransaction_ten_transactions 16
update_time_500_entries 822
query_time_500_entries_transaction 596
update_time_500_entries_transaction 150
delete_time_500_entries 1161
insert_time_500_entries 1000
query_time_500_entries 732
delete_time_500_entries_transaction 252
insert_time_500_entries_transaction 246
executeTransaction_ten_transactions 10
update_time_500_entries 863
query_time_500_entries_transaction 487
update_time_500_entries_transaction 135
delete_time_500_entries 1065
insert_time_500_entries 1089
query_time_500_entries 839
delete_time_500_entries_transaction 279
insert_time_500_entries_transaction 127
executeTransaction_ten_transactions 9
update_time_500_entries 884
query_time_500_entries_transaction 583
update_time_500_entries_transaction 154
delete_time_500_entries 1193
insert_time_500_entries 1015
query_time_500_entries 627
delete_time_500_entries_transaction 179
insert_time_500_entries_transaction 107
executeTransaction_ten_transactions 9
update_time_500_entries 964
query_time_500_entries_transaction 569
update_time_500_entries_transaction 157
delete_time_500_entries 1160
insert_time_500_entries 990
query_time_500_entries 614
delete_time_500_entries_transaction 215
insert_time_500_entries_transaction 83
executeTransaction_ten_transactions 14
update_time_500_entries 905
query_time_500_entries_transaction 701
update_time_500_entries_transaction 168
delete_time_500_entries 1225
insert_time_500_entries 1094
query_time_500_entries 751
delete_time_500_entries_transaction 227
insert_time_500_entries_transaction 112
executeTransaction_ten_transactions 8
update_time_500_entries 1045
query_time_500_entries_transaction 521
update_time_500_entries_transaction 207
